epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.095,1.14134,1.63869,1.09099,0.77166,0.66205,0.75324,0.50859,1.07527,1.54573,1.27394,0.00041507,0.00041507,0.00041507
2,216.023,1.10459,1.08006,1.06944,0.79197,0.71115,0.8019,0.54607,1.08637,1.15636,1.26767,0.000815269,0.000815269,0.000815269
3,319.308,1.10163,0.99124,1.06626,0.81219,0.71604,0.79842,0.54466,1.02315,1.23911,1.20915,0.00119897,0.00119897,0.00119897
4,421.492,1.09179,0.90982,1.0603,0.84072,0.73678,0.81633,0.56383,1.0052,0.93095,1.19628,0.00117575,0.00117575,0.00117575
5,524.779,1.05149,0.84129,1.0403,0.82281,0.7888,0.84049,0.60358,0.93327,0.80569,1.14994,0.001151,0.001151,0.001151
6,627.501,1.02653,0.78975,1.02878,0.84275,0.75596,0.83624,0.59519,0.91124,0.79169,1.11874,0.00112625,0.00112625,0.00112625
